player,battinghand,bowlinghand,bowlingtype,nationality,team
Ravi Bishnoi,Right,Right,Wrist Spinners,Indian,LSG
Shivam Mavi,Right,Right,Pacer,Indian,LSG
Manimaran Siddharth,Right,Left,Finger Spinners,Indian,LSG
Mayank Yadav,Right,Right,Pacer,Indian,LSG
Yash Thakur,Right,Right,Pacer,Indian,LSG
Yudhvir Singh,Right,Right,Pacer,Indian,LSG
Mark Wood,Right,Right,Pacer,International,LSG
Tim David,Right,Right,Finger Spinners,International,MI
Ishan Kishan,Left,,,Indian,MI
Rohit Sharma,Right,Right,Finger Spinners,Indian,MI
Vishnu Vinod,Right,,,Indian,MI
Nehal Wadhera,Left,Right,Wrist Spinners,Indian,MI
Suryakumar Yadav,Right,Right,Pacer,Indian,MI
Hardik Pandya,Right,Right,Pacer,Indian,MI
Dewald Brevis,Right,Right,Wrist Spinners,International,MI
Piyush Chawla,Left,Right,Wrist Spinners,Indian,MI
Shreyas Gopal,Right,Right,Wrist Spinners,Indian,MI
Anshul Kamboj,Right,Right,Pacer,Indian,MI
Mohammad Nabi,Right,Right,Finger Spinners,International,MI
Shams Mulani,Left,Left,Finger Spinners,Indian,MI
Romario Shepherd,Right,Right,Pacer,International,MI
Tilak Varma,Left,Right,Finger Spinners,Indian,MI
Jason Behrendorff,Right,Left,Pacer,International,MI
Jasprit Bumrah,Right,Right,Pacer,Indian,MI
Gerald Coetzee,Right,Right,Pacer,International,MI
Kumar Kartikeya,Right,Left,Finger Spinners,Indian,MI
Akash Madhwal,Right,Right,Pacer,Indian,MI
Dilshan Madushanka,Right,Left,Pacer,International,MI
Arjun Tendulkar,Left,Left,Pacer,Indian,MI
Nuwan Thushara,Right,Right,Pacer,International,MI
Shikhar Dhawan,Left,Right,Finger Spinners,Indian,PK
Jonny Bairstow,Right,Right,Pacer,International,PK
Harpreet Singh,Left,Right,Pacer,Indian,PK
Prabhsimran Singh,Right,,,Indian,PK
Rilee Rossouw,Left,Right,Finger Spinners,International,PK
Jitesh Sharma,Right,,,Indian,PK
Sam Curran,Left,Left,Pacer,International,PK
Rishi Dhawan,Right,Right,Pacer,Indian,PK
Liam Livingstone,Right,Right,Finger Spinners,International,PK
Shashank Singh,Right,Right,Pacer,Indian,PK
Shivam Singh,Right,Right,Finger Spinners,Indian,PK
Sikandar Raza,Right,Right,Finger Spinners,International,PK
Atharva Taide,Left,Left,Finger Spinners,Indian,PK
Chris Woakes,Right,Right,Pacer,International,PK
Arshdeep Singh,Left,Left,Pacer,Indian,PK
Rahul Chahar,Right,Right,Wrist Spinners,Indian,PK
Nathan Ellis,Right,Right,Pacer,International,PK
Harpreet Brar,Left,Left,Finger Spinners,Indian,PK
Vidwath Kaverappa,Right,Right,Pacer,Indian,PK
Harshal Patel,Right,Right,Pacer,Indian,PK
Kagiso Rabada,Left,Right,Pacer,International,PK
Sanju Samson,Right,,,Indian,RR
Jos Buttler,Right,,,International,RR
Shubham Dubey,Left,Right,Finger Spinners,Indian,RR
Shimron Hetmyer,Left,,,International,RR
Yashasvi Jaiswal,Left,Right,Wrist Spinners,Indian,RR
Dhruv Jurel,Right,,,Indian,RR
Tom Kohler-Cadmore,Right,Right,Finger Spinners,International,RR
Riyan Parag,Right,Right,Wrist Spinners,Indian,RR
Rovman Powell,Right,Right,Pacer,International,RR
Kunal Singh Rathore,Left,,,Indian,RR
Ravichandran Ashwin,Right,Right,Finger Spinners,Indian,RR
Donovan Ferreira,Right,Right,Finger Spinners,International,RR
Avesh Khan,Right,Right,Pacer,Indian,RR
Trent Boult,Right,Left,Pacer,International,RR
Nandre Burger,Left,Left,Pacer,International,RR
Yuzvendra Chahal,Right,Right,Wrist Spinners,Indian,RR
Prasidh Krishna,Right,Right,Pacer,Indian,RR
Navdeep Saini,Right,Right,Pacer,Indian,RR
Sandeep Sharma,Right,Right,Pacer,Indian,RR
Kuldeep Sen,Right,Right,Pacer,Indian,RR
Adam Zampa,Right,Right,Wrist Spinners,International,RR
Faf du Plessis,Right,Right,Wrist Spinners,International,RCB
Anuj Rawat,Left,,,Indian,RCB
Saurav Chauhan,Left,Right,Finger Spinners,Indian,RCB
Dinesh Karthik,Right,Right,Finger Spinners,Indian,RCB
Virat Kohli,Right,Right,Pacer,Indian,RCB
Rajat Patidar,Right,Right,Finger Spinners,Indian,RCB
Akash Deep,Right,Right,Pacer,Indian,RCB
Manoj Bhandage,Left,Right,Pacer,Indian,RCB
Tom Curran,Right,Right,Pacer,International,RCB
Cameron Green,Right,Right,Pacer,International,RCB
Will Jacks,Right,Right,Finger Spinners,International,RCB
Mahipal Lomror,Left,Left,Finger Spinners,Indian,RCB
Glenn Maxwell,Right,Right,Finger Spinners,International,RCB
Suyash Prabhudessai,Right,Right,Pacer,Indian,RCB
Mayank Dagar,Right,Left,Finger Spinners,Indian,RCB
Lockie Ferguson,Right,Right,Pacer,International,RCB
Alzarri Joseph,Right,Right,Pacer,International,RCB
Mohammed Siraj,Right,Right,Pacer,Indian,RCB
Rajan Kumar,Left,Left,Pacer,Indian,RCB
Himanshu Sharma,Right,Right,Wrist Spinners,Indian,RCB
Karn Sharma,Left,Right,Wrist Spinners,Indian,RCB
Swapnil Singh,Right,Left,Finger Spinners,Indian,RCB
Reece Topley,Right,Left,Pacer,International,RCB
Vijaykumar Vyshak,Right,Right,Pacer,Indian,RCB
Yash Dayal,Right,Left,Pacer,Indian,RCB
Abdul Samad,Right,Right,Wrist Spinners,Indian,SRH
Mayank Agarwal,Right,Right,Finger Spinners,Indian,SRH
Anmolpreet Singh,Right,Right,Finger Spinners,Indian,SRH
Travis Head,Left,Right,Finger Spinners,International,SRH
Heinrich Klaasen,Right,Right,Finger Spinners,International,SRH
Aiden Markram,Right,Right,Finger Spinners,International,SRH
Rahul Tripathi,Right,Right,Pacer,Indian,SRH
Upendra Yadav,Right,Right,Finger Spinners,Indian,SRH
Abhishek Sharma,Left,Left,Finger Spinners,Indian,SRH
Wanindu Hasaranga,Right,Right,Wrist Spinners,International,SRH
Marco Jansen,Right,Left,Pacer,International,SRH
Nitish Kumar Reddy,Right,Right,Pacer,Indian,SRH
Glenn Phillips,Right,Right,Finger Spinners,International,SRH
Sanvir Singh,Right,Right,Pacer,Indian,SRH
Shahbaz Ahmed,Left,Left,Finger Spinners,Indian,SRH
Washington Sundar,Left,Right,Finger Spinners,Indian,SRH
Pat Cummins,Right,Right,Pacer,International,SRH
Akash Singh,Right,Left,Pacer,Indian,SRH
Fazalhaq Farooqi,Right,Left,Pacer,International,SRH
Bhuvneshwar Kumar,Right,Right,Pacer,Indian,SRH
Mayank Markande,Right,Right,Wrist Spinners,Indian,SRH
T Natarajan,Left,Left,Pacer,Indian,SRH
Jhathavedh Subramanyan,Right,Right,Wrist Spinners,International,SRH
Umran Malik,Right,Right,Pacer,Indian,SRH
Jaydev Unadkat,Right,Left,Pacer,Indian,SRH
