"Player Name,Team Name,Batting Hand,Bowling Hand,Bowling Type,Nationality"
"Jason Roy,Kolkata Knight Riders Squad,Right,,,International"
"Venkatesh Iyer,Kolkata Knight Riders Squad,Left,Right,Pacer,Indian"
"Sunil Narine,Kolkata Knight Riders Squad,Left,Right,Finger Spinners,International"
"Anukul Roy,Kolkata Knight Riders Squad,Left,Left,Finger Spinners,Indian"
"Andre Russell,Kolkata Knight Riders Squad,Right,Right,Pacer,International"
"Vaibhav Arora,Kolkata Knight Riders Squad,Right,Right,Pacer,Indian"
"Dushmantha Chameera,Kolkata Knight Riders Squad,Right,Right,Pacer,International"
"Harshit Rana,Kolkata Knight Riders Squad,Right,Right,Pacer,Indian"
"Mujeeb Ur Rahman,Kolkata Knight Riders Squad,Right,Right,Finger Spinners,International"
"Chetan Sakariya,Kolkata Knight Riders Squad,Left,Left,Pacer,Indian"
"Mitchell Starc,Kolkata Knight Riders Squad,Left,Left,Pacer,International"
"Suyash Sharma,Kolkata Knight Riders Squad,Right,Right,Wrist Spinners,Indian"
"Varun Chakravarthy,Kolkata Knight Riders Squad,Right,Right,Wrist Spinners,Indian"
"Gus Atkinson,Kolkata Knight Riders Squad,Right,Right,Pacer,International"
"KL Rahul,Lucknow Super Giants Squad,Right,,,Indian"
"Ayush Badoni,Lucknow Super Giants Squad,Right,Right,Finger Spinners,Indian"
"Quinton de Kock,Lucknow Super Giants Squad,Left,,,International"
"Devdutt Padikkal,Lucknow Super Giants Squad,Left,Right,Finger Spinners,Indian"
"Nicholas Pooran,Lucknow Super Giants Squad,Left,Right,Finger Spinners,International"
"Ashton Turner,Lucknow Super Giants Squad,Right,Right,Finger Spinners,International"
"Krishnappa Gowtham,Lucknow Super Giants Squad,Right,Right,Finger Spinners,Indian"
"Deepak Hooda,Lucknow Super Giants Squad,Right,Right,Finger Spinners,Indian"
"Arshin Kulkarni,Lucknow Super Giants Squad,Right,Right,Pacer,Indian"
"Prerak Mankad,Lucknow Super Giants Squad,Right,Right,Pacer,Indian"
"Kyle Mayers,Lucknow Super Giants Squad,Left,Right,Pacer,International"
"Krunal Pandya,Lucknow Super Giants Squad,Left,Left,Finger Spinners,Indian"
"Marcus Stoinis,Lucknow Super Giants Squad,Right,Right,Pacer,International"
"David Willey,Lucknow Super Giants Squad,Left,Left,Pacer,International"
"Arshad Khan,Lucknow Super Giants Squad,Left,Left,Pacer,Indian"
"Shamar Joseph,Lucknow Super Giants Squad,Left,Right,Pacer,International"
"Amit Mishra,Lucknow Super Giants Squad,Right,Right,Wrist Spinners,Indian"
"Mohsin Khan,Lucknow Super Giants Squad,Left,Left,Pacer,Indian"
"Naveen-ul-Haq,Lucknow Super Giants Squad,Right,Right,Pacer,International"
"Ravi Bishnoi,Lucknow Super Giants Squad,Right,Right,Wrist Spinners,Indian"
"Shivam Mavi,Lucknow Super Giants Squad,Right,Right,Pacer,Indian"
"Manimaran Siddharth,Lucknow Super Giants Squad,Right,Left,Finger Spinners,Indian"
"Mayank Yadav,Lucknow Super Giants Squad,Right,Right,Pacer,Indian"
"Yash Thakur,Lucknow Super Giants Squad,Right,Right,Pacer,Indian"
"Yudhvir Singh,Lucknow Super Giants Squad,Right,Right,Pacer,Indian"
"Mark Wood,Lucknow Super Giants Squad,Right,Right,Pacer,International"
"Tim David,Mumbai Indians Squad,Right,Right,Finger Spinners,International"
"Ishan Kishan,Mumbai Indians Squad,Left,,,Indian"
"Rohit Sharma,Mumbai Indians Squad,Right,Right,Finger Spinners,Indian"
"Vishnu Vinod,Mumbai Indians Squad,Right,,,Indian"
"Nehal Wadhera,Mumbai Indians Squad,Left,Right,Wrist Spinners,Indian"
"Suryakumar Yadav,Mumbai Indians Squad,Right,Right,Pacer,Indian"
"Hardik Pandya,Mumbai Indians Squad,Right,Right,Pacer,Indian"
"Dewald Brevis,Mumbai Indians Squad,Right,Right,Wrist Spinners,International"
"Piyush Chawla,Mumbai Indians Squad,Left,Right,Wrist Spinners,Indian"
"Shreyas Gopal,Mumbai Indians Squad,Right,Right,Wrist Spinners,Indian"
"Anshul Kamboj,Mumbai Indians Squad,Right,Right,Pacer,Indian"
"Mohammad Nabi,Mumbai Indians Squad,Right,Right,Finger Spinners,International"
"Shams Mulani,Mumbai Indians Squad,Left,Left,Finger Spinners,Indian"
"Romario Shepherd,Mumbai Indians Squad,Right,Right,Pacer,International"
"Tilak Varma,Mumbai Indians Squad,Left,Right,Finger Spinners,Indian"
"Jason Behrendorff,Mumbai Indians Squad,Right,Left,Pacer,International"
"Jasprit Bumrah,Mumbai Indians Squad,Right,Right,Pacer,Indian"
"Gerald Coetzee,Mumbai Indians Squad,Right,Right,Pacer,International"
"Kumar Kartikeya,Mumbai Indians Squad,Right,Left,Finger Spinners,Indian"
"Akash Madhwal,Mumbai Indians Squad,Right,Right,Pacer,Indian"
"Dilshan Madushanka,Mumbai Indians Squad,Right,Left,Pacer,International"
"Arjun Tendulkar,Mumbai Indians Squad,Left,Left,Pacer,Indian"
"Nuwan Thushara,Mumbai Indians Squad,Right,Right,Pacer,International"
"Shikhar Dhawan,Punjab Kings Squad,Left,Right,Finger Spinners,Indian"
"Jonny Bairstow,Punjab Kings Squad,Right,Right,Pacer,International"
"Harpreet Singh,Punjab Kings Squad,Left,Right,Pacer,Indian"
"Prabhsimran Singh,Punjab Kings Squad,Right,,,Indian"
"Rilee Rossouw,Punjab Kings Squad,Left,Right,Finger Spinners,International"
"Jitesh Sharma,Punjab Kings Squad,Right,,,Indian"
"Sam Curran,Punjab Kings Squad,Left,Left,Pacer,International"
"Rishi Dhawan,Punjab Kings Squad,Right,Right,Pacer,Indian"
"Liam Livingstone,Punjab Kings Squad,Right,Right,Finger Spinners,International"
"Shashank Singh,Punjab Kings Squad,Right,Right,Pacer,Indian"
"Shivam Singh,Punjab Kings Squad,Right,Right,Finger Spinners,Indian"
"Sikandar Raza,Punjab Kings Squad,Right,Right,Finger Spinners,International"
"Atharva Taide,Punjab Kings Squad,Left,Left,Finger Spinners,Indian"
