Player Name,Team Name,Batting Hand,Bowling Hand,Bowling Type,Nationality,Team Acronym
Sherfane Rutherford,Kolkata Knight Riders Squad,Left,Right,Pacer,International,KKR
Phil Salt,Kolkata Knight Riders Squad,Right,Right,Finger Spinners,International,KKR
Rinku Singh,Kolkata Knight Riders Squad,Left,Right,Finger Spinners,Indian,KKR
Jason Roy,Kolkata Knight Riders Squad,Right,,,International,KKR
Venkatesh Iyer,Kolkata Knight Riders Squad,Left,Right,Pacer,Indian,KKR
Sunil Narine,Kolkata Knight Riders Squad,Left,Right,Finger Spinners,International,KKR
Anukul Roy,Kolkata Knight Riders Squad,Left,Left,Finger Spinners,Indian,KKR
Andre Russell,Kolkata Knight Riders Squad,Right,Right,Pacer,International,KKR
Vaibhav Arora,Kolkata Knight Riders Squad,Right,Right,Pacer,Indian,KKR
Dushmantha Chameera,Kolkata Knight Riders Squad,Right,Right,Pacer,International,KKR
Harshit Rana,Kolkata Knight Riders Squad,Right,Right,Pacer,Indian,KKR
Mujeeb Ur Rahman,Kolkata Knight Riders Squad,Right,Right,Finger Spinners,International,KKR
Chetan Sakariya,Kolkata Knight Riders Squad,Left,Left,Pacer,Indian,KKR
Mitchell Starc,Kolkata Knight Riders Squad,Left,Left,Pacer,International,KKR
Suyash Sharma,Kolkata Knight Riders Squad,Right,Right,Wrist Spinners,Indian,KKR
Varun Chakravarthy,Kolkata Knight Riders Squad,Right,Right,Wrist Spinners,Indian,KKR
Gus Atkinson,Kolkata Knight Riders Squad,Right,Right,Pacer,International,KKR
KL Rahul,Lucknow Super Giants Squad,Right,,,Indian,LSG
Ayush Badoni,Lucknow Super Giants Squad,Right,Right,Finger Spinners,Indian,LSG
Quinton de Kock,Lucknow Super Giants Squad,Left,,,International,LSG
Devdutt Padikkal,Lucknow Super Giants Squad,Left,Right,Finger Spinners,Indian,LSG
Nicholas Pooran,Lucknow Super Giants Squad,Left,Right,Finger Spinners,International,LSG
Ashton Turner,Lucknow Super Giants Squad,Right,Right,Finger Spinners,International,LSG
Krishnappa Gowtham,Lucknow Super Giants Squad,Right,Right,Finger Spinners,Indian,LSG
Deepak Hooda,Lucknow Super Giants Squad,Right,Right,Finger Spinners,Indian,LSG
Arshin Kulkarni,Lucknow Super Giants Squad,Right,Right,Pacer,Indian,LSG
Prerak Mankad,Lucknow Super Giants Squad,Right,Right,Pacer,Indian,LSG
Kyle Mayers,Lucknow Super Giants Squad,Left,Right,Pacer,International,LSG
Krunal Pandya,Lucknow Super Giants Squad,Left,Left,Finger Spinners,Indian,LSG
Marcus Stoinis,Lucknow Super Giants Squad,Right,Right,Pacer,International,LSG
David Willey,Lucknow Super Giants Squad,Left,Left,Pacer,International,LSG
Arshad Khan,Lucknow Super Giants Squad,Left,Left,Pacer,Indian,LSG
Shamar Joseph,Lucknow Super Giants Squad,Left,Right,Pacer,International,LSG
Amit Mishra,Lucknow Super Giants Squad,Right,Right,Wrist Spinners,Indian,LSG
Mohsin Khan,Lucknow Super Giants Squad,Left,Left,Pacer,Indian,LSG
Naveen-ul-Haq,Lucknow Super Giants Squad,Right,Right,Pacer,International,LSG
Ravi Bishnoi,Lucknow Super Giants Squad,Right,Right,Wrist Spinners,Indian,LSG
Shivam Mavi,Lucknow Super Giants Squad,Right,Right,Pacer,Indian,LSG
Manimaran Siddharth,Lucknow Super Giants Squad,Right,Left,Finger Spinners,Indian,LSG
Mayank Yadav,Lucknow Super Giants Squad,Right,Right,Pacer,Indian,LSG
Yash Thakur,Lucknow Super Giants Squad,Right,Right,Pacer,Indian,LSG
Yudhvir Singh,Lucknow Super Giants Squad,Right,Right,Pacer,Indian,LSG
Mark Wood,Lucknow Super Giants Squad,Right,Right,Pacer,International,LSG
Tim David,Mumbai Indians Squad,Right,Right,Finger Spinners,International,MI
Ishan Kishan,Mumbai Indians Squad,Left,,,Indian,MI
Rohit Sharma,Mumbai Indians Squad,Right,Right,Finger Spinners,Indian,MI
Vishnu Vinod,Mumbai Indians Squad,Right,,,Indian,MI
Nehal Wadhera,Mumbai Indians Squad,Left,Right,Wrist Spinners,Indian,MI
Suryakumar Yadav,Mumbai Indians Squad,Right,Right,Pacer,Indian,MI
Hardik Pandya,Mumbai Indians Squad,Right,Right,Pacer,Indian,MI
Dewald Brevis,Mumbai Indians Squad,Right,Right,Wrist Spinners,International,MI
Piyush Chawla,Mumbai Indians Squad,Left,Right,Wrist Spinners,Indian,MI
Shreyas Gopal,Mumbai Indians Squad,Right,Right,Wrist Spinners,Indian,MI
Anshul Kamboj,Mumbai Indians Squad,Right,Right,Pacer,Indian,MI
Mohammad Nabi,Mumbai Indians Squad,Right,Right,Finger Spinners,International,MI
Shams Mulani,Mumbai Indians Squad,Left,Left,Finger Spinners,Indian,MI
Romario Shepherd,Mumbai Indians Squad,Right,Right,Pacer,International,MI
